bikeObstacle,Exit,119.9663
bikeObstacle,Enter,120.576
bikeObstacle,Exit,120.8544
bikeObstacle,Enter,121.546
bikeObstacle,Exit,121.8349
bikeObstacle,Enter,122.5306
bikeObstacle,Exit,122.9165
bikeObstacle,Enter,123.5016
bikeObstacle,Exit,123.9174
objectPedestrian(Clone),Enter,24.58932
objectPedestrian(Clone),Exit,26.95831
objectPedestrian(Clone),Enter,24.07273
objectPedestrian(Clone),Exit,26.42385
objectPedestrian(Clone),Enter,24.61111
objectPedestrian(Clone),Exit,26.95353
bikeObstacle,Enter,89.18825
bikeObstacle,Enter,89.76815
bikeObstacle,Exit,90.24787
bikeObstacle,Enter,90.99406
bikeObstacle,Exit,91.32465
bikeObstacle,Enter,91.93845
bikeObstacle,Exit,92.30208
bikeObstacle,Enter,92.94884
bikeObstacle,Exit,93.29636
bikeObstacle,Enter,93.92626
bikeObstacle,Exit,94.30663
bikeObstacle,Enter,94.92406
bikeObstacle,Exit,95.32085
bikeObstacle,Enter,95.91784
bikeObstacle,Exit,96.31482
bikeObstacle,Enter,96.9284
bikeObstacle,Exit,97.30907
bikeObstacle,Enter,97.90591
bikeObstacle,Exit,98.30319
bikeObstacle,Enter,98.89983
bikeObstacle,Exit,99.30205
bikeObstacle,Enter,99.91566
bikeObstacle,Exit,100.2961
bikeObstacle,Enter,100.9097
bikeObstacle,Exit,101.3068
bikeObstacle,Enter,101.8872
bikeObstacle,Exit,102.3088
bikeObstacle,Enter,102.8892
objectPedestrian(Clone),Enter,24.49489
objectPedestrian(Clone),Exit,26.83407
bikeObstacle,Enter,89.08113
bikeObstacle,Enter,89.6491
bikeObstacle,Exit,90.11243
bikeObstacle,Enter,90.89172
bikeObstacle,Exit,91.20629
bikeObstacle,Enter,91.83623
bikeObstacle,Exit,92.19983
bikeObstacle,Enter,92.82997
bikeObstacle,Exit,93.19392
bikeObstacle,Enter,93.84061
bikeObstacle,Exit,94.18787
bikeObstacle,Enter,94.80172
bikeObstacle,Exit,95.19843
bikeObstacle,Enter,95.79664
bikeObstacle,Exit,96.19398
bikeObstacle,Enter,96.7915
bikeObstacle,Exit,97.18762
bikeObstacle,Enter,97.80124
bikeObstacle,Exit,98.19814
bikeObstacle,Enter,98.79527
bikeObstacle,Exit,99.19216
bikeObstacle,Enter,99.78938
bikeObstacle,Exit,100.1862
bikeObstacle,Enter,100.7997
bikeObstacle,Exit,101.1802
bikeObstacle,Enter,101.7937
bikeObstacle,Exit,102.1742
bikeObstacle,Enter,102.7713
bikeObstacle,Exit,103.1877
bikeObstacle,Enter,103.8014
bikeObstacle,Exit,104.1982
bikeObstacle,Enter,104.7787
objectPedestrian(Clone),Enter,35.29306
objectPedestrian(Clone),Exit,37.71419
bikeObstacle,Enter,99.88818
bikeObstacle,Enter,100.3396
bikeObstacle,Exit,100.7721
bikeObstacle,Enter,101.6165
bikeObstacle,Exit,101.9505
bikeObstacle,Enter,102.6161
bikeObstacle,Exit,102.9477
bikeObstacle,Enter,103.6132
bikeObstacle,Exit,103.9446
bikeObstacle,Enter,104.6148
bikeObstacle,Exit,104.9504
bikeObstacle,Enter,105.6168
bikeObstacle,Exit,105.9486
bikeObstacle,Enter,106.6296
bikeObstacle,Exit,106.9523
bikeObstacle,Enter,107.6136
bikeObstacle,Exit,107.947
objectPedestrian(Clone),Enter,23.92303
objectPedestrian(Clone),Exit,26.26072
bikeObstacle,Enter,88.49022
bikeObstacle,Enter,89.05347
bikeObstacle,Exit,89.53321
bikeObstacle,Enter,90.29594
bikeObstacle,Exit,90.6266
bikeObstacle,Enter,91.2574
bikeObstacle,Exit,91.62062
bikeObstacle,Enter,92.2346
bikeObstacle,Exit,92.61465
bikeObstacle,Enter,93.21162
bikeObstacle,Exit,93.6086
bikeObstacle,Enter,94.20571
bikeObstacle,Exit,94.61988
bikeObstacle,Enter,95.21621
bikeObstacle,Exit,95.59663
bikeObstacle,Enter,96.21021
bikeObstacle,Exit,96.60717
bikeObstacle,Enter,97.22088
bikeObstacle,Exit,97.61782
bikeObstacle,Enter,98.19831
bikeObstacle,Exit,98.61172
bikeObstacle,Exit,99.60586
map2:RoadJunction46,Enter,181.954
map2:RoadJunction46,Exit,183.2801
map2:RoadJunction46,Enter,183.6947
map2:Road113,Enter,183.7611
Terrain,Enter,183.7627
Terrain,Exit,183.8931
map2:Road113,Exit,183.9096
map2:RoadJunction46,Exit,183.9592
map2:Road109,Enter,186.0092
map2:RoadJunction59,Enter,186.0106
map2:Road113,Enter,186.0418
Terrain,Enter,186.0439
map2:RoadJunction50,Enter,186.1079
map2:RoadJunction50,Exit,186.1901
map2:RoadJunction50,Enter,186.4061
map2:RoadJunction59,Exit,186.6209
Terrain,Exit,186.654
map2:RoadJunction50,Exit,186.6706
map2:Road109,Exit,186.6716
map2:Road113,Exit,186.6726
map2:Road152,Enter,203.9757
map2:Road152,Exit,204.2069
map2:Road152,Enter,204.2572
map2:Road152,Exit,204.4888
